Time,C1,Trigs,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,TimeB,C1B,TrigsB,C3B,C4B,C5B,C6B,C7B,C8B,C9B,C10B,C11B,C12B,C13B
41.82,256238,768,-174368,-875283,-2523890,-7894046,-1374367,-7730931,458268,-719543,-33658,125012,289783,41.73,78418,770,-287596,-1019424,-2700457,-8071888,-1549692,-7906573,416519,-881911,-206500,38286,274172
41.82,473580,768,-33740,-681215,-2252809,-7604226,-1106226,-7418738,500977,-504173,199069,216687,302062,41.74,241203,770,-177537,-876780,-2531149,-7897552,-1376446,-7724936,457636,-726059,-43167,122399,289461
41.82,520535,768,-9609,-637976,-2171162,-7504946,-1028805,-7306982,500415,-457419,253188,219651,298920,41.74,469599,770,-37246,-681097,-2259018,-7605733,-1106074,-7411303,500295,-508271,190001,215007,301935
41.82,540559,768,992,-618778,-2129331,-7452796,-989279,-7244213,501020,-435449,276637,220117,298212,41.74,522136,770,-13250,-640843,-2174376,-7508283,-1030535,-7300378,499948,-460143,243149,218375,298505
41.82,579111,768,24989,-583653,-2065817,-7378975,-931746,-7161516,505966,-397148,316328,231225,298955,41.74,544488,770,541,-620023,-2131812,-7451239,-992182,-7236961,501019,-435184,267033,220906,297813
41.83,437719,768,-69452,-702957,-2208253,-7522828,-1078295,-7308881,470329,-529050,175354,158181,285766,41.74,582817,770,25053,-584140,-2070292,-7376469,-933114,-7153545,506113,-394660,309275,232396,298854
41.83,214360,768,-213073,-895418,-2478023,-7811899,-1345745,-7619972,427897,-742703,-57544,66311,273192,41.75,442733,770,-71246,-706465,-2214740,-7521604,-1082787,-7305836,469488,-528743,166726,156315,285209
41.83,166361,768,-238203,-938622,-2562944,-7911426,-1423660,-7732990,426593,-793355,-115176,60664,275742,41.75,219783,770,-212278,-901655,-2480901,-7808849,-1348118,-7615501,427459,-741879,-61963,63359,273255
41.83,137235,768,-255233,-964490,-2614707,-7974979,-1472255,-7805999,425056,-825460,-146666,55633,276349,41.75,167747,770,-240535,-947499,-2567140,-7908968,-1428618,-7729285,426484,-794392,-119034,57201,275501
41.83,87634,768,-287554,-1013490,-2691902,-8068007,-1546305,-7908324,417306,-879139,-200995,39150,274683,41.75,137590,770,-255849,-973487,-2622618,-7971691,-1476142,-7804338,424662,-823727,-148998,52107,276411
41.84,253218,768,-175343,-872201,-2522155,-7893664,-1371527,-7727945,457937,-724022,-36600,122462,289945,41.75,102570,770,-279454,-1005647,-2678694,-8037518,-1527964,-7878818,419976,-858865,-185002,41866,275568
41.84,429442,768,-64302,-720262,-2314685,-7670800,-1163611,-7487973,492240,-554840,143945,195955,299937,41.76,187991,770,-218375,-933276,-2597736,-7963320,-1443054,-7804786,445071,-779360,-98242,93945,285499
